account_value,date,daily_return
1052370645.5500005,2023-06-21,
1054019520.5500005,2023-06-22,0.0015668196437941262
1056215889.5500005,2023-06-23,0.002083802963017245
1058556399.5500005,2023-06-26,0.002215939016972257
1060405174.5500005,2023-06-27,0.0017465059025536522
1060889874.5500005,2023-06-28,0.0004570894330138131
1051806104.5500005,2023-06-29,-0.008562406162895164
1041821594.5500005,2023-06-30,-0.009492728704281195
1046955499.5500005,2023-07-03,0.004927815882159292
1049587439.5500005,2023-07-04,0.002513898633830447
1047062604.5500005,2023-07-05,-0.002405549937871343
1046403263.1000005,2023-07-06,-0.0006297058524818988
1046403263.1000005,2023-07-07,0.0
1046403263.1000005,2023-07-10,0.0
1046403263.1000005,2023-07-11,0.0
1046403263.1000005,2023-07-12,0.0
1046403263.1000005,2023-07-13,0.0
1046403263.1000005,2023-07-14,0.0
1046403263.1000005,2023-07-17,0.0
1046403263.1000005,2023-07-18,0.0
1046403263.1000005,2023-07-19,0.0
1046403263.1000005,2023-07-20,0.0
1046403263.1000005,2023-07-21,0.0
1046403263.1000005,2023-07-24,0.0
1046403263.1000005,2023-07-25,0.0
1046403263.1000005,2023-07-26,0.0
1046403263.1000005,2023-07-27,0.0
1046403263.1000005,2023-07-28,0.0
1046403263.1000005,2023-07-31,0.0
1046403263.1000005,2023-08-01,0.0
1046403263.1000005,2023-08-02,0.0
1046403263.1000005,2023-08-03,0.0
1046403263.1000005,2023-08-04,0.0
1046403263.1000005,2023-08-07,0.0
1046403263.1000005,2023-08-08,0.0
1046403263.1000005,2023-08-09,0.0
1046403263.1000005,2023-08-10,0.0
1046403263.1000005,2023-08-11,0.0
1046403263.1000005,2023-08-14,0.0
1046403263.1000005,2023-08-15,0.0
1046403263.1000005,2023-08-16,0.0
1046403263.1000005,2023-08-17,0.0
1046403263.1000005,2023-08-18,0.0
1046403263.1000005,2023-08-21,0.0
1046403263.1000005,2023-08-22,0.0
1046403263.1000005,2023-08-23,0.0
1046403263.1000005,2023-08-24,0.0
1046403263.1000005,2023-08-25,0.0
1046403263.1000005,2023-08-28,0.0
1046403263.1000005,2023-08-29,0.0
1046403263.1000005,2023-08-30,0.0
1046403263.1000005,2023-08-31,0.0
1046403263.1000005,2023-09-05,0.0
1046403263.1000005,2023-09-06,0.0
1046403263.1000005,2023-09-07,0.0
1046403263.1000005,2023-09-08,0.0
1046403263.1000005,2023-09-11,0.0
1046403263.1000005,2023-09-12,0.0
1046403263.1000005,2023-09-13,0.0
1046403263.1000005,2023-09-14,0.0
1046403263.1000005,2023-09-15,0.0
1046403263.1000005,2023-09-18,0.0
1046403263.1000005,2023-09-19,0.0
1046403263.1000005,2023-09-20,0.0
