account_rewards,date
581205.0,2023-12-20
-823830.0,2023-12-21
2441225.0,2023-12-22
2206060.0,2023-12-25
-559075.0,2023-12-26
-104050.0,2023-12-27
-959105.0,2023-12-28
-934070.0,2023-12-29
1041010.0,2024-01-02
2145955.0,2024-01-03
430865.0,2024-01-04
25850.0,2024-01-05
-2489165.0,2024-01-08
-5754050.0,2024-01-09
931170.0,2024-01-10
-1953865.0,2024-01-11
2241230.0,2024-01-12
1126155.0,2024-01-15
81115.0,2024-01-16
-53890.0,2024-01-17
2331105.0,2024-01-18
346040.0,2024-01-19
-3433970.0,2024-01-22
-2173870.0,2024-01-23
-498815.0,2024-01-24
3186210.0,2024-01-25
-418870.0,2024-01-26
-1133855.0,2024-01-29
-163830.0,2024-01-30
18016180.0,2024-01-31
8660775.0,2024-02-01
7205590.0,2024-02-02
3135429.999999881,2024-02-05
4165360.0,2024-02-06
-3899730.0,2024-02-07
10525345.0,2024-02-15
10760095.0,2024-02-16
2044800.0,2024-02-19
3589720.0,2024-02-20
-5635315.0,2024-02-21
-12680220.0,2024-02-22
19375065.0,2024-02-23
1779740.0,2024-02-26
5444695.0,2024-02-27
234590.0,2024-02-28
11934600.0,2024-02-29
3644395.0,2024-03-01
-4115665.0,2024-03-04
-9255600.0,2024-03-05
14704540.0,2024-03-06
-12545690.0,2024-03-07
-2355480.0,2024-03-08
11654565.0,2024-03-11
39254395.0,2024-03-12
5208800.0,2024-03-13
-15696295.0,2024-03-14
-11626040.0,2024-03-15
-1995910.0,2024-03-18
15284100.0,2024-03-19
12563900.0,2024-03-20
-9156269.999999762,2024-03-21
-5283822.200000048,2024-03-22
8818153.149999857,2024-03-25
