account_rewards,date
-13082.399999976158,2023-03-20
107045.39999997616,2023-03-21
-148812.0,2023-03-22
3200127.600000024,2023-03-23
238043.14999997616,2023-03-24
683994.0,2023-03-27
610589.600000143,2023-03-28
1439754.7000000477,2023-03-29
9000786.0,2023-03-30
20877408.799999952,2023-03-31
-8114800.600000143,2023-04-03
-9537200.0,2023-04-04
-7117172.799999714,2023-04-05
-883052.9000000954,2023-04-06
-4336287.799999952,2023-04-07
-1338318.600000143,2023-04-10
-4324748.999999762,2023-04-11
-559737.0,2023-04-12
-1713875.7999999523,2023-04-13
-598641.6000000238,2023-04-14
-1402016.3000001907,2023-04-17
-2960475.1999999285,2023-04-18
1507725.4000000954,2023-04-19
21199.200000047684,2023-04-20
-2185456.7999999523,2023-04-21
-2429795.5,2023-04-24
-3311662.7000000477,2023-04-25
-12587904.299999952,2023-04-26
11726481.0,2023-04-27
-4931621.200000048,2023-04-28
-3722551.25,2023-05-04
3900124.850000024,2023-05-05
-1555160.0,2023-05-08
-316075.60000002384,2023-05-09
-1365473.5999999046,2023-05-10
9606355.0,2023-05-11
18543280.299999952,2023-05-12
-11545157.699999928,2023-05-15
1147445.0,2023-05-16
-1045963.8000000715,2023-05-17
-7342754.599999905,2023-05-18
-4576471.200000048,2023-05-19
5128637.299999952,2023-05-22
-1308226.5499999523,2023-05-23
-565343.2000000477,2023-05-24
-7390878.849999905,2023-05-25
8042902.299999952,2023-05-26
-3093638.9500000477,2023-05-29
-3761191.0,2023-05-30
230394.0,2023-05-31
3684969.4000000954,2023-06-01
2352922.0,2023-06-02
10889316.0,2023-06-05
-5727341.25,2023-06-06
-7583987.900000095,2023-06-07
-2645390.0999999046,2023-06-08
12738522.5,2023-06-09
9923151.149999976,2023-06-12
-5403353.9499999285,2023-06-13
-3942897.4000000954,2023-06-14
-2029241.5999999046,2023-06-15
-14907714.200000048,2023-06-16
1343645.1000000238,2023-06-19
