account_value,date,daily_return
1041822553.1000005,2023-12-20,
1042403758.1000005,2023-12-21,0.0005578733137141523
1041579928.1000005,2023-12-22,-0.0007903175651453598
1044021153.1000005,2023-12-25,0.002343771163537234
1046227213.1000005,2023-12-26,0.0021130414776076023
1045668138.1000005,2023-12-27,-0.0005343724508402037
1045564088.1000005,2023-12-28,-9.950575733241873e-05
1044604983.1000005,2023-12-29,-0.0009173086670783981
1043670913.1000005,2024-01-02,-0.0008941848977477296
1044711923.1000005,2024-01-03,0.0009974504289937958
1046857878.1000005,2024-01-04,0.002054111714961726
1047288743.1000005,2024-01-05,0.0004115792687944264
1047314593.1000005,2024-01-08,2.4682782251206348e-05
1044825428.1000005,2024-01-09,-0.0023767118460864545
1039071378.1000005,2024-01-10,-0.005507187942835223
1040002548.1000005,2024-01-11,0.0008961559519642393
1038048683.1000005,2024-01-12,-0.0018787117431294797
1040289913.1000005,2024-01-15,0.002159079854816559
1041416068.1000005,2024-01-16,0.001082539574611685
1041497183.1000005,2024-01-17,7.788913815010012e-05
1041443293.1000005,2024-01-18,-5.1742818775180055e-05
1043774398.1000005,2024-01-19,0.0022383407867183625
1044120438.1000005,2024-01-22,0.000331527579743085
1040686468.1000005,2024-01-23,-0.0032888638845618434
1038512598.1000005,2024-01-24,-0.002088880817263661
1038013783.1000005,2024-01-25,-0.00048031675389648143
1041199993.1000005,2024-01-26,0.003069525715240884
1040781123.1000005,2024-01-29,-0.000402295431017885
1039647268.1000005,2024-01-30,-0.001089426945622085
1039483438.1000005,2024-01-31,-0.00015758229259754675
1057499618.1000005,2024-02-01,0.017331858632524844
1066160393.1000005,2024-02-02,0.008189861113671926
1073365983.1000005,2024-02-05,0.0067584483972893405
1076501413.1000004,2024-02-06,0.002921119216899637
1080666773.1000004,2024-02-07,0.003869349310007042
1076767043.1000004,2024-02-15,-0.0036086332041219693
1087292388.1000004,2024-02-16,0.009774950921322523
1098052483.1000004,2024-02-19,0.009896229494260389
1100097283.1000004,2024-02-20,0.0018622060707218502
1103687003.1000004,2024-02-21,0.003263093232886094
1098051688.1000004,2024-02-22,-0.00510589957494445
1085371468.1000004,2024-02-23,-0.011547926329352531
1104746533.1000004,2024-02-26,0.017851091142018882
1106526273.1000004,2024-02-27,0.001610993967101182
1111970968.1000004,2024-02-28,0.00492052934698628
1112205558.1000004,2024-02-29,0.00021096773812434577
1124140158.1000004,2024-03-01,0.010730570363618908
1127784553.1000004,2024-03-04,0.003241940049681702
1123668888.1000004,2024-03-05,-0.0036493362040533883
1114413288.1000004,2024-03-06,-0.008236946041685123
1129117828.1000004,2024-03-07,0.013194871379423656
1116572138.1000004,2024-03-08,-0.011111054743605409
1114216658.1000004,2024-03-11,-0.0021095636543538854
1125871223.1000004,2024-03-12,0.010459873234953898
1165125618.1000004,2024-03-13,0.034865794768176084
1170334418.1000004,2024-03-14,0.004470590912329264
1154638123.1000004,2024-03-15,-0.013411803290791391
1143012083.1000004,2024-03-18,-0.010068990246733023
1141016173.1000004,2024-03-19,-0.0017461845150287258
1156300273.1000004,2024-03-20,0.01339516508208205
1168864173.1000004,2024-03-21,0.010865603245354905
1159707903.1000006,2024-03-22,-0.007833476472904444
1154424080.9000006,2024-03-25,-0.004556166415591312
1163242234.0500004,2024-03-26,0.0076385734635102676
