account_rewards,date
-19680.0,2023-09-21
-489670.0,2023-09-22
-249430.0,2023-09-25
310650.0,2023-09-26
-159430.0,2023-09-27
-729400.0,2023-09-28
270720.0,2023-09-29
-809320.0,2023-10-02
260780.0,2023-10-03
-909250.0,2023-10-04
1200840.0,2023-10-05
3470730.0,2023-10-06
900440.0,2023-10-09
970370.0,2023-10-10
-909700.0,2023-10-11
-489640.0,2023-10-12
1180390.0,2023-10-13
-6669680.0,2023-10-16
-199310.0,2023-10-17
-2009300.0,2023-10-18
1880800.0,2023-10-19
-4189290.0,2023-10-20
2290900.0,2023-10-23
-2649200.0,2023-10-24
-10259090.0,2023-10-25
511320.0,2023-10-26
-5408700.0,2023-10-27
-5608500.0,2023-10-30
6951700.0,2023-10-31
10791460.0,2023-11-01
-6208900.0,2023-11-02
4791300.0,2023-11-03
-668850.0,2023-11-06
14611170.0,2023-11-07
-359260.0,2023-11-08
-3609250.0,2023-11-09
-379150.0,2023-11-10
4550860.0,2023-11-13
-789260.0,2023-11-14
2390760.0,2023-11-15
-8209300.0,2023-11-16
-1269100.0,2023-11-17
5150930.0,2023-11-20
4830810.0,2023-11-21
-9909300.0,2023-11-22
1830920.0,2023-11-23
-2359120.0,2023-11-24
1910930.0,2023-11-27
-437280.0,2023-11-28
10830.0,2023-11-29
90810.0,2023-11-30
350760.0,2023-12-01
470640.0,2023-12-04
90520.0,2023-12-05
-429500.0,2023-12-06
-79430.0,2023-12-07
630580.0,2023-12-08
1610500.0,2023-12-11
-1609680.0,2023-12-12
1090480.0,2023-12-13
-9620.0,2023-12-14
-2869620.0,2023-12-15
830600.0,2023-12-18
