,date,dji
167,2023-03-29,1007282.8505336251
168,2023-03-30,1006107.9154434962
169,2023-03-31,1016150.5804673124
170,2023-04-03,1020543.196228658
171,2023-04-04,1033435.9993705858
172,2023-04-05,1043592.0390489243
173,2023-04-06,1037418.610161402
174,2023-04-07,1039913.8231304435
175,2023-04-10,1039993.6524752012
176,2023-04-11,1043137.691182485
177,2023-04-12,1046189.768425747
178,2023-04-13,1045000.578095483
179,2023-04-14,1056901.823129958
180,2023-04-17,1052453.581601787
181,2023-04-18,1055581.4845904494
182,2023-04-19,1055253.796049127
183,2023-04-20,1052781.027500724
184,2023-04-21,1049352.4905966977
185,2023-04-24,1050046.3264974097
186,2023-04-25,1052109.7573418429
187,2023-04-26,1041408.0149390064
188,2023-04-27,1034297.0158747566
189,2023-04-28,1050580.5037086068
190,2023-05-04,1059028.3409945644
191,2023-05-05,1057585.346729296
