,account_value,date,daily_return,datadate
0,1000000.0,2021-11-01,,2021-11-01
1,1000000.0,2021-11-02,0.0,2021-11-02
2,1000000.0,2021-11-03,0.0,2021-11-03
3,1000000.0,2021-11-04,0.0,2021-11-04
4,1000000.0,2021-11-05,0.0,2021-11-05
5,997067.2240000002,2021-11-08,-0.0029327759999998,2021-11-08
6,987179.2240000002,2021-11-09,-0.0099170845876687,2021-11-09
7,993107.2240000002,2021-11-10,0.0060049886139013,2021-11-10
8,992148.3760000002,2021-11-11,-0.0009655029958779,2021-11-11
9,992148.3760000002,2021-11-12,0.0,2021-11-12
10,992148.3760000002,2021-11-15,0.0,2021-11-15
11,1001074.5640000002,2021-11-16,0.0089968277083589,2021-11-16
12,1001074.5640000002,2021-11-17,0.0,2021-11-17
13,983278.5640000002,2021-11-18,-0.0177768975858225,2021-11-18
14,982324.6600000004,2021-11-19,-0.0009701258981172,2021-11-19
15,982324.6600000004,2021-11-22,0.0,2021-11-22
16,997201.5760000004,2021-11-23,0.0151446019893259,2021-11-23
17,1010053.5760000004,2021-11-24,0.0128880662739747,2021-11-24
18,1030801.5760000004,2021-11-25,0.0205414846231879,2021-11-25
19,1019929.5760000004,2021-11-26,-0.0105471317207221,2021-11-26
20,1017219.3550000004,2021-11-29,-0.0026572628775303,2021-11-29
21,1016976.9250000004,2021-11-30,-0.0002383261769532,2021-11-30
22,1016976.9250000004,2021-12-01,0.0,2021-12-01
23,1016976.9250000004,2021-12-02,0.0,2021-12-02
24,999216.0970000004,2021-12-03,-0.0174643372562262,2021-12-03
25,989328.0970000004,2021-12-06,-0.0098957573138456,2021-12-06
26,988393.9570000004,2021-12-07,-0.0009442165878363,2021-12-07
27,983496.9970000006,2021-12-08,-0.0049544616954794,2021-12-08
28,997332.9970000006,2021-12-09,0.0140681670022424,2021-12-09
29,985476.9970000006,2021-12-10,-0.0118877045436811,2021-12-10
30,987444.9970000006,2021-12-13,0.001997002472905,2021-12-13
31,984480.9970000006,2021-12-14,-0.0030016861789822,2021-12-14
32,986460.9970000006,2021-12-15,0.0020112120051414,2021-12-15
33,985513.0210000004,2021-12-16,-0.0009609868032116,2021-12-16
34,985513.0210000004,2021-12-17,0.0,2021-12-17
35,978632.1010000006,2021-12-20,-0.006982069088258,2021-12-20
36,972692.1010000006,2021-12-21,-0.0060696966653048,2021-12-21
37,970724.1010000006,2021-12-22,-0.0020232507264906,2021-12-22
38,952928.1010000006,2021-12-23,-0.0183327064628016,2021-12-23
39,952006.8130000004,2021-12-24,-0.000966796969292,2021-12-24
40,952006.8130000004,2021-12-27,0.0,2021-12-27
41,952006.8130000004,2021-12-28,0.0,2021-12-28
42,942168.6730000008,2021-12-29,-0.0103341067161037,2021-12-29
43,942168.6730000008,2021-12-30,0.0,2021-12-30
44,941243.4370000006,2021-12-31,-0.0009820279813103,2021-12-31
45,941243.4370000006,2022-01-04,0.0,2022-01-04
46,941303.1850000008,2022-01-05,6.347773344428376e-05,2022-01-05
47,940319.1850000008,2022-01-06,-0.0010453592590361,2022-01-06
48,939335.1850000008,2022-01-07,-0.0010464531785555,2022-01-07
49,925487.1850000008,2022-01-10,-0.0147423414145825,2022-01-10
50,924577.7650000008,2022-01-11,-0.0009826392139616,2022-01-11
51,924677.0530000008,2022-01-12,0.0001073873975327,2022-01-12
52,934460.3970000008,2022-01-13,0.0105802820219871,2022-01-13
53,926021.3210000008,2022-01-14,-0.0090309616406353,2022-01-14
54,925118.8130000008,2022-01-17,-0.0009746082293499,2022-01-17
55,925118.8130000008,2022-01-18,0.0,2022-01-18
56,926227.937000001,2022-01-19,0.0011988989786115,2022-01-19
57,931159.937000001,2022-01-20,0.0053248231919829,2022-01-20
58,930282.1490000008,2022-01-21,-0.0009426823095806,2022-01-21
59,930282.1490000008,2022-01-24,0.0,2022-01-24
