date,ensemble
2021-11-01,1000000.0
2021-11-02,1000000.0
2021-11-03,1000000.0
2021-11-04,1000000.0
2021-11-05,1000000.0
2021-11-08,997067.2240000002
2021-11-09,987179.2240000002
2021-11-10,993107.2240000002
2021-11-11,992148.3760000002
2021-11-12,992148.3760000002
2021-11-15,992148.3760000002
2021-11-16,1001074.5640000002
2021-11-17,1001074.5640000002
2021-11-18,983278.5640000002
2021-11-19,982324.6600000004
2021-11-22,982324.6600000004
2021-11-23,997201.5760000004
2021-11-24,1010053.5760000004
2021-11-25,1030801.5760000004
2021-11-26,1019929.5760000004
2021-11-29,1017219.3550000004
2021-11-30,1016976.9250000004
2021-12-01,1016976.9250000004
2021-12-02,1016976.9250000004
2021-12-03,999216.0970000004
2021-12-06,989328.0970000004
2021-12-07,988393.9570000004
2021-12-08,983496.9970000006
2021-12-09,997332.9970000006
2021-12-10,985476.9970000006
2021-12-13,987444.9970000006
2021-12-14,984480.9970000006
2021-12-15,986460.9970000006
2021-12-16,985513.0210000004
2021-12-17,985513.0210000004
2021-12-20,978632.1010000006
2021-12-21,972692.1010000006
2021-12-22,970724.1010000006
2021-12-23,952928.1010000006
2021-12-24,952006.8130000004
2021-12-27,952006.8130000004
2021-12-28,952006.8130000004
2021-12-29,942168.6730000008
2021-12-30,942168.6730000008
2021-12-31,941243.4370000006
2022-01-04,941243.4370000006
2022-01-05,941303.1850000008
2022-01-06,940319.1850000008
2022-01-07,939335.1850000008
2022-01-10,925487.1850000008
2022-01-11,924577.7650000008
2022-01-12,924677.0530000008
2022-01-13,934460.3970000008
2022-01-14,926021.3210000008
2022-01-17,925118.8130000008
2022-01-18,925118.8130000008
2022-01-19,926227.937000001
2022-01-20,931159.937000001
2022-01-21,930282.1490000008
2022-01-24,930282.1490000008
2022-01-25,942225.691000001
2022-01-26,936869.691000001
2022-01-27,935948.732000001
2022-01-28,935948.732000001
2022-02-07,935948.732000001
2022-02-08,935948.732000001
2022-02-09,935948.732000001
2022-02-10,935948.732000001
2022-02-11,935948.732000001
2022-02-14,935948.732000001
2022-02-15,935948.732000001
2022-02-16,935948.732000001
2022-02-17,935948.732000001
2022-02-18,935948.732000001
2022-02-21,935948.732000001
2022-02-22,935948.732000001
2022-02-23,935948.732000001
2022-02-24,935948.732000001
2022-02-25,935948.732000001
2022-02-28,935948.732000001
2022-03-01,935948.732000001
2022-03-02,935948.732000001
2022-03-03,935948.732000001
2022-03-04,935948.732000001
2022-03-07,935948.732000001
2022-03-08,935948.732000001
2022-03-09,935948.732000001
2022-03-10,935948.732000001
2022-03-11,935948.732000001
2022-03-14,935948.732000001
2022-03-15,935948.732000001
2022-03-16,935948.732000001
2022-03-17,935948.732000001
2022-03-18,935948.732000001
2022-03-21,935948.732000001
2022-03-22,935948.732000001
2022-03-23,935948.732000001
2022-03-24,935948.732000001
2022-03-25,935948.732000001
2022-03-28,935948.732000001
2022-03-29,935948.732000001
2022-03-30,935948.732000001
2022-03-31,935948.732000001
2022-04-01,935948.732000001
2022-04-04,935948.732000001
2022-04-05,935948.732000001
2022-04-06,935948.732000001
2022-04-07,935948.732000001
2022-04-08,935948.732000001
2022-04-12,935948.732000001
2022-04-13,935948.732000001
2022-04-14,935948.732000001
2022-04-15,935948.732000001
2022-04-18,935948.732000001
2022-04-19,935948.732000001
2022-04-20,935948.732000001
2022-04-21,935948.732000001
2022-04-22,935948.732000001
2022-04-25,935948.732000001
2022-04-26,935948.732000001
2022-04-27,935948.732000001
2022-04-28,935948.732000001
2022-04-29,935948.732000001
2022-05-04,935948.732000001
2022-05-05,935948.732000001
2022-05-06,935948.732000001
2022-05-09,935948.732000001
2022-05-10,960774.701000001
2022-05-11,992174.4730000012
2022-05-12,935084.4730000012
2022-05-13,934218.212000001
2022-05-16,934218.212000001
2022-05-17,997544.924000001
2022-05-18,996559.3880000012
2022-05-19,988669.6160000012
2022-05-20,987710.7680000012
2022-05-23,976858.9760000012
2022-05-24,975905.0720000012
2022-05-25,1042146.3560000014
2022-05-26,1041108.4280000016
2022-05-27,1041108.4280000016
2022-05-30,1035563.3720000016
2022-05-31,1034554.8480000016
2022-06-01,1034554.8480000016
2022-06-02,1030824.7920000018
2022-06-03,1029814.4530000016
2022-06-06,1029814.4530000016
2022-06-07,1052352.529000002
2022-06-08,1046918.5290000018
2022-06-09,1049635.529000002
2022-06-10,1001609.5290000018
2022-06-13,942165.5290000018
2022-06-14,973702.5290000018
2022-06-15,972733.6930000018
2022-06-16,972733.6930000018
2022-06-17,971824.263000002
2022-06-20,970914.8330000018
2022-06-21,941335.403000002
2022-06-22,895865.4030000019
2022-06-23,905745.403000002
2022-06-24,905745.403000002
2022-06-27,915635.403000002
2022-06-28,947265.403000002
2022-06-29,950235.403000002
2022-06-30,912665.403000002
2022-07-01,930465.403000002
2022-07-04,929595.513000002
2022-07-05,929595.513000002
2022-07-06,929595.513000002
2022-07-07,929595.513000002
2022-07-08,929595.513000002
2022-07-11,919985.484000002
2022-07-12,927597.484000002
2022-07-13,916729.484000002
2022-07-14,916587.516000002
2022-07-15,909327.8840000022
2022-07-18,918028.8840000022
2022-07-19,918028.8840000022
2022-07-20,936726.8380000022
2022-07-21,935887.5980000022
2022-07-22,936052.3450000024
2022-07-25,939308.3450000024
2022-07-26,932785.3450000024
2022-07-27,937141.3450000024
2022-07-28,936214.9140000024
2022-07-29,920067.7500000024
2022-08-01,920892.4300000024
2022-08-02,920643.3250000024
2022-08-03,920643.3250000024
