,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
34,2022-08-19,vic.vn,68000.0,68400.0,66800.0,67900.0,1220000.0,4.0,-648.9007658951741,68320.51939223298,63909.48060776703,44.28225912559096,36.960985626283374,17.939463334367993,67026.66666666667,71205.0,20.600000381469727,0.007955212263815577
35,2022-08-22,vic.vn,67200.0,68000.0,66000.0,66000.0,1470000.0,0.0,-656.0492682984477,68183.93631830202,63916.06368169798,40.70560555857063,-13.126491646777689,21.75814361169536,66893.33333333333,70996.66666666667,23.799999237060547,2.553527821633982
36,2022-08-23,vic.vn,65500.0,65600.0,64800.0,65000.0,1440000.0,1.0,-733.9456816537277,68179.61125050468,63810.38874949533,38.990936050368475,-91.63867114594981,27.027444706799614,66730.0,70766.66666666667,24.110000610351562,0.6632690810557705
37,2022-08-24,vic.vn,65200.0,65800.0,64900.0,64900.0,787500.0,2.0,-794.5887897622306,68138.58174788242,63691.418252117575,38.821765507165175,-84.61689716195895,25.56940380223493,66576.66666666667,70526.66666666667,22.81999969482422,1.227504866414946e-05
38,2022-08-25,vic.vn,65000.0,65900.0,65000.0,65900.0,483000.0,3.0,-753.2739737245865,68024.20643047894,63695.793569521054,41.44969379581615,-57.46482816546491,24.828300980617747,66456.66666666667,70310.0,21.780000686645508,1.0359560020804592
39,2022-08-26,vic.vn,66000.0,66000.0,65000.0,65000.0,861300.0,4.0,-784.115368866318,67935.00162444121,63884.99837555879,39.85574887482589,-71.0886152451461,24.07079258959194,66303.33333333333,70080.0,25.559999465942383,0.5246233401149646
40,2022-08-29,vic.vn,64300.0,64400.0,63000.0,63600.0,1340000.0,0.0,-911.0239790900087,68069.28377395969,63640.71622604031,37.53314209390692,-174.458380843786,32.540540739259434,66156.66666666667,69831.66666666667,26.209999084472656,1.4328634334768837
41,2022-08-30,vic.vn,63600.0,64100.0,63200.0,63600.0,868400.0,1.0,-1000.0717622670854,68105.41663051277,63304.58336948722,37.53314209390692,-169.84077427411805,32.54054073925944,65983.33333333333,69591.66666666667,26.209999084472656,0.009149206286444481
42,2022-08-31,vic.vn,64000.0,65700.0,63700.0,63700.0,1240000.0,2.0,-1050.4645067817037,68146.23077782818,63033.76922217182,37.81016939291558,-113.82578852753792,20.98647208354278,65833.33333333333,69351.66666666667,25.8700008392334,0.03570475794747894
43,2022-09-06,vic.vn,64100.0,64800.0,63100.0,63300.0,1340000.0,1.0,-1100.67571520395,68159.93903521507,62570.06096478494,37.42794953017487,-145.5611390284751,24.92600534243745,65576.66666666667,68871.66666666667,26.90999984741211,0.07846607379127168
44,2022-09-07,vic.vn,63300.0,63400.0,62500.0,62500.0,1350000.0,2.0,-1188.4854557284052,68321.06276694885,62198.93723305115,36.074648178555904,-194.29024583663747,27.421648100668822,65416.666666666664,68640.0,24.639999389648438,0.43090757096932153
45,2022-09-08,vic.vn,63300.0,63600.0,62400.0,62900.0,841200.0,3.0,-1211.8294352763041,68377.54292798862,61902.45707201139,37.248241533827056,-165.04708097928452,25.977578416559975,65310.0,68411.66666666667,23.610000610351562,0.2296035720469081
46,2022-09-09,vic.vn,63200.0,64400.0,62900.0,64400.0,1190000.0,4.0,-1096.650736229487,68371.29933541405,61868.70066458595,41.420262307587336,-94.97206703910601,20.334472032039976,65240.0,68206.66666666667,22.790000915527344,2.490402142573049
47,2022-09-12,vic.vn,64900.0,64900.0,63800.0,64000.0,552900.0,0.0,-1025.8224023753792,68301.63245909612,61758.36754090389,40.674273425909206,-68.02567006417507,16.94744248974822,65140.0,67996.66666666667,23.8700008392334,0.08636698545138521
48,2022-09-13,vic.vn,64000.0,64300.0,63600.0,64100.0,1060000.0,1.0,-950.6626262517821,68173.2383889767,61676.761611023314,40.94932090686831,-78.00799709196686,17.903614904863673,65143.333333333336,67788.33333333333,27.270000457763672,0.03674790720973909
49,2022-09-14,vic.vn,63500.0,63700.0,62100.0,63400.0,711000.0,2.0,-936.7834554854053,68013.50192788041,61536.49807211959,39.61919856293933,-129.04564315352715,24.6354693744191,65100.0,67585.0,26.15999984741211,0.35398942669183586
50,2022-09-15,vic.vn,63500.0,64000.0,62800.0,63900.0,851300.0,3.0,-875.3478264748774,67890.66887534034,61459.331124659664,41.034465451738306,-90.43267938726193,22.556254296786697,65010.0,67400.0,26.270000457763672,0.3446199314789633
51,2022-09-16,vic.vn,63200.0,64500.0,62500.0,62500.0,1680000.0,4.0,-928.9199367774563,67540.36039099137,61329.639609008635,38.42565773025087,-105.28360528360552,19.12975982931809,64893.333333333336,67191.66666666667,26.299999237060547,1.6678827929004356
52,2022-09-19,vic.vn,62500.0,63300.0,62100.0,62900.0,786000.0,0.0,-928.3975737748915,66825.8191385507,61524.1808614493,39.561356644744585,-117.65806210250685,20.958627457474687,64776.666666666664,67003.33333333333,25.760000228881836,0.24814255255555215
53,2022-09-20,vic.vn,62600.0,63900.0,62600.0,63900.0,800100.0,1.0,-837.636205909359,65963.25498736468,61986.74501263532,42.313075625639144,-73.03336394245478,16.857852317188414,64726.666666666664,66825.0,27.15999984741211,1.1912454810335118
54,2022-09-21,vic.vn,63500.0,63600.0,62700.0,63100.0,482700.0,2.0,-820.7988241809799,65608.34932334266,62051.650676657344,40.776641076177455,-84.84776964833617,16.857852317188403,64676.666666666664,66646.66666666667,27.989999771118164,0.48525136823864745
