date,ensemble,dji
2023-11-22,1050468533.1000004,1128060508.3153098
2023-11-23,1040559233.1000004,1133999822.300307
2023-11-24,1042390153.1000004,1137765046.4703534
2023-11-27,1040031033.1000004,1135942839.7227256
2023-11-28,1041941963.1000004,1138627674.8748646
2023-11-29,1041504683.1000004,1139059805.3654633
2023-11-30,1041515513.1000004,1155792460.572488
2023-12-01,1041606323.1000004,1165263917.0098479
2023-12-04,1041957083.1000004,1163943915.9675105
2023-12-05,1042427723.1000004,1161375747.2570357
2023-12-06,1042518243.1000004,1159121158.8531651
2023-12-07,1042088743.1000004,1161144926.030148
2023-12-08,1042009313.1000004,1165340145.782819
2023-12-11,1042639893.1000004,1170389454.308103
2023-12-12,1044250393.1000004,1175951643.0785499
2023-12-13,1042640713.1000004,1192421579.0218918
2023-12-14,1043731193.1000004,1197504794.9091234
2023-12-15,1043721573.1000004,1199331145.8898783
2023-12-18,1040851953.1000004,1199358774.1107244
2023-12-19,1041682553.1000004,1207457233.554851
2023-12-20,1041822553.1000004,1192156724.8502347
2023-12-21,1042403758.1000004,1202520070.4896379
2023-12-22,1041579928.1000004,1201929077.729174
2023-12-25,1044021153.1000004,1207052354.5366323
2023-12-26,1046227213.1000004,1210627069.5656624
2023-12-27,1045668138.1000004,1212349689.135422
2023-12-28,1045564088.1000004,1211688621.160266
2023-12-29,1044604983.1000004,1212508425.8224654
2024-01-02,1043670913.1000004,1203350800.857354
2024-01-03,1044711923.1000004,1203677065.0289829
2024-01-04,1046857878.1000004,1204505534.9059024
2024-01-05,1047288743.1000004,1211478772.264657
2024-01-08,1047314593.1000004,1206403970.4265013
2024-01-09,1044825428.1000004,1211887669.9331803
2024-01-10,1039071378.1000004,1212379201.0985985
2024-01-11,1040002548.1000004,1208584339.3825533
2024-01-12,1038048683.1000004,1201130245.398253
2024-01-15,1040289913.1000004,1198093778.3444355
2024-01-16,1041416068.1000004,1204585907.9120002
2024-01-17,1041497183.1000004,1217290996.4337616
2024-01-18,1041443293.1000004,1221727837.5360148
2024-01-19,1043774398.1000004,1218629960.4822254
2024-01-22,1044120438.1000004,1215445305.6984148
2024-01-23,1040686468.1000004,1223249147.8420632
2024-01-24,1038512598.1000004,1225187769.8657112
2024-01-25,1038013783.1000004,1232389819.1262012
2024-01-26,1041199993.1000004,1236693291.27146
2024-01-29,1040781123.1000004,1226501742.9325912
2024-01-30,1039647268.1000004,1238382129.0620942
2024-01-31,1039483438.1000004,1242708834.0294285
2024-02-01,1057499618.1000004,1233890282.6837928
2024-02-02,1066160393.1000004,1238430980.779863
2024-02-05,1073365983.1000004,1243446256.3603773
