date,dji
2023-01-12,1065378.1708961863
2023-01-13,1053210.86848625
2023-01-16,1034144.5151356074
2023-01-17,1026305.3462731282
2023-01-18,1036583.4350712635
2023-01-19,1044474.4080830002
2023-01-27,1047716.9595987083
2023-01-30,1048023.7808948967
2023-01-31,1054408.4299788063
2023-02-01,1055298.8062115964
2023-02-02,1047192.973367693
2023-02-03,1058651.8813338005
2023-02-06,1058866.8624871597
2023-02-07,1057654.9850938716
2023-02-08,1053681.7160348885
2023-02-09,1052594.9207912132
2023-02-10,1060846.2177450927
2023-02-13,1054396.055217157
2023-02-14,1046658.4321929183
2023-02-15,1051919.4043905898
2023-02-16,1063617.8003909697
2023-02-17,1058752.2139601142
2023-02-20,1059956.6907606511
2023-02-21,1046564.4082686217
2023-02-22,1050597.003390806
2023-02-23,1028946.265994531
2023-02-24,1026321.8459553274
2023-02-27,1029701.6117399121
2023-02-28,1019235.3537719911
2023-03-01,1021476.7628060281
2023-03-02,1014259.1224134474
2023-03-03,1014418.7811029626
2023-03-06,1025032.3229987492
2023-03-07,1037064.2309576985
2023-03-08,1038321.2398346489
2023-03-09,1020463.3668839002
2023-03-10,1018660.0486764889
2023-03-13,1001778.6900053053
2023-03-14,991056.8082844904
2023-03-15,988246.0388933906
2023-03-16,998689.670458884
2023-03-17,989967.5866169621
2023-03-20,1001520.6398285585
2023-03-21,989576.5684130811
2023-03-22,1001459.4332868714
2023-03-23,1011274.4390926971
2023-03-24,994798.3538655298
2023-03-27,997132.0883271664
2023-03-28,1001240.4485341548
2023-03-29,1007282.8505336251
2023-03-30,1006107.9154434962
2023-03-31,1016150.5804673124
2023-04-03,1020543.196228658
2023-04-04,1033435.9993705858
2023-04-05,1043592.0390489243
2023-04-06,1037418.610161402
2023-04-07,1039913.8231304435
2023-04-10,1039993.6524752012
2023-04-11,1043137.691182485
2023-04-12,1046189.768425747
2023-04-13,1045000.578095483
2023-04-14,1056901.823129958
2023-04-17,1052453.581601787
2023-04-18,1055581.4845904494
2023-04-19,1055253.796049127
2023-04-20,1052781.027500724
2023-04-21,1049352.4905966977
2023-04-24,1050046.3264974097
2023-04-25,1052109.7573418429
2023-04-26,1041408.0149390064
2023-04-27,1034297.0158747566
2023-04-28,1050580.5037086068
2023-05-04,1059028.3409945644
2023-05-05,1057585.346729296
