"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2024","1,282.21","1,267.86","1,282.50","1,264.42","941.70K","1.13%"
"03/25/2024","1,267.86","1,281.80","1,286.84","1,264.51","1.24M","-1.09%"
"03/22/2024","1,281.80","1,276.42","1,291.27","1,276.38","1.38M","0.42%"
"03/21/2024","1,276.42","1,260.08","1,276.42","1,260.08","1.25M","1.30%"
"03/20/2024","1,260.08","1,242.46","1,261.55","1,235.46","915.57K","1.42%"
"03/19/2024","1,242.46","1,246.54","1,249.75","1,238.92","914.65K","-0.09%"
"03/18/2024","1,243.56","1,263.78","1,269.90","1,221.67","1.71M","-1.60%"
"03/15/2024","1,263.78","1,264.26","1,271.63","1,252.36","1.07M","-0.04%"
"03/14/2024","1,264.26","1,270.51","1,276.41","1,258.67","1.06M","-0.49%"
"03/13/2024","1,270.51","1,245.00","1,270.51","1,245.00","982.23K","2.05%"
"03/12/2024","1,245.00","1,235.49","1,248.33","1,233.14","836.22K","0.77%"
"03/11/2024","1,235.49","1,247.35","1,254.01","1,233.49","975.99K","-0.95%"
"03/08/2024","1,247.35","1,268.46","1,274.30","1,247.35","1.35M","-1.66%"
"03/07/2024","1,268.46","1,262.73","1,269.88","1,260.24","1.02M","0.45%"
"03/06/2024","1,262.73","1,269.98","1,277.51","1,256.30","1.06M","-0.57%"
"03/05/2024","1,269.98","1,261.41","1,269.98","1,257.81","1.01M","0.68%"
"03/04/2024","1,261.41","1,258.28","1,268.25","1,256.54","1.18M","0.25%"
"03/01/2024","1,258.28","1,256.72","1,258.76","1,247.87","961.93K","0.44%"
"02/29/2024","1,252.73","1,254.55","1,264.39","1,247.70","1.09M","-0.15%"
"02/28/2024","1,254.55","1,237.46","1,254.55","1,236.32","970.76K","1.38%"
"02/27/2024","1,237.46","1,224.17","1,237.60","1,224.17","986.85K","1.09%"
"02/26/2024","1,224.17","1,212.00","1,225.21","1,210.52","889.75K","1.00%"
"02/23/2024","1,212.00","1,227.31","1,240.81","1,211.55","1.39M","-1.25%"
"02/22/2024","1,227.31","1,230.04","1,232.09","1,226.15","840.41K","-0.22%"
"02/21/2024","1,230.04","1,230.06","1,234.22","1,222.92","988.85K","0.00%"
"02/20/2024","1,230.06","1,224.97","1,230.47","1,222.66","939.95K","0.42%"
"02/19/2024","1,224.97","1,209.70","1,225.48","1,209.70","1.05M","1.26%"
"02/16/2024","1,209.70","1,202.50","1,210.25","1,202.50","822.64K","0.60%"
"02/15/2024","1,202.50","1,203.08","1,207.56","1,198.81","868.72K","0.33%"
"02/07/2024","1,198.53","1,188.48","1,199.52","1,188.48","685.66K","0.85%"
"02/06/2024","1,188.48","1,186.06","1,190.92","1,185.68","619.77K","0.20%"
"02/05/2024","1,186.06","1,172.55","1,188.45","1,172.55","874.80K","1.15%"
"02/02/2024","1,172.55","1,173.02","1,178.27","1,169.70","914.67K","-0.04%"
"02/01/2024","1,173.02","1,164.31","1,174.50","1,162.45","670.25K","0.75%"
"01/31/2024","1,164.31","1,179.65","1,182.53","1,163.13","1.12M","-1.30%"
"01/30/2024","1,179.65","1,175.69","1,179.92","1,174.13","620.15K","0.34%"
